Text	Classificacao
@jairbolsonaro agindo como se deve quando tem mercadoria parada! Aprendendo com @riachuelo, @magazineluiza e… https://t.co/O9vQdrpeCx	Negativo
a riachuelo foi longe demais imitando os tenis HORROROSOS da balenciaga	Neutro
Sessão nostalgia com Conde Vlad e Natasha. Já, já tem Vamp, o musical no Teatro Riachuelo 🎃🎃💀 em Intertv Cabugi https://t.co/LGHqT2sc3C	Positivo
Riachuelo todinho https://t.co/u3fo8AURP2	Positivo
@riachuelo tem como aumentar o limite de um cartão Riachuelo Master?	Positivo
@adrianovboas ah o que eu quero é um all star q fica aparecendo publicidade pela riachuelo kkk ta foda pq ele é caro mas é mt lindo	Neutro
RT @BlogdoMiro: Flávio Rocha, o escravocrata da Riachuelo, vai descer do palanque? A Justiça Federal no RN condenou o presidenciável do PRB…	Positivo
apaixonada estou pelo atendente da riachuelo	Negativo
"@mayberavenna RIACHUELO FUDIDA DIGA NAO AO FAST FASHION!! ESCRAVIDÃO CONTEMPORÂNEA NÃO!
ai amiga acho que esse look… https://t.co/hOrPPHCb6Q"	Neutro
O NOVO POINT DE RIACHUELO ESTÁ BOMBANDO! MERCADO DO PRODUTOR, VEM PRÁ CÁ https://t.co/Hffrn6WZbA	Neutro
RT @merceolivalho: Mais um. Que maravilha! Centauro/Sebastião Bonfim, Riachuelo/ Flávio Rocha, Havan/ luciano Hang. Penso que o @MovBrasil_…	Neutro
Com risco de queda, imóvel à esquina das ruas Riachuelo e Marechal Floriano Peixoto provoca bloqueio do trecho desd… https://t.co/SFDDDiu5J9	Positivo
@DeboraAraujo_ Tb me apaixonei nessas coisinhas do Snoopy da Riachuelo 😻	Positivo
RIACHUELO GOLPISTA mas tão bonito esse look e essa saia https://t.co/mZwzj0w8Js	Neutro
Looks no Provador FOREVER + Comprinhas Di Santinni /Riachuelo: https://t.co/QV90AyHvWa via @YouTube	Neutro
@ricardojustus @RealityCheckVR do nada na sessao masculina da riachuelo	Neutro
Mais um. Que maravilha! Centauro/Sebastião Bonfim, Riachuelo/ Flávio Rocha, Havan/ luciano Hang. Penso que o… https://t.co/Hbd7yhmCj7	Neutro
"O cantor e multi-instrumentista Humberto Gessinger colocou Natal na rota da sua nova turnê nacional ""Ao Vivo pra ca… https://t.co/swdBXjRRmO"	Neutro
@LuisCaval1 @havan @riachuelo @centauroesporte Que tal vender camisetas com mensagens pro-direita? Irão voar das lojas!	Neutro
RT @Iran_Barbosa: No Dia Nacional do Patrimônio Histórico vale lembrar que Sergipe possui 23 patrimônios históricos nacionais distribuídos…	Positivo
vim aqui na Riachuelo rapidinho	Positivo
@rodandopelavida São muito bons, ela tem uma linha com a tracta que chama tblogs pausa para feminices e a linha bru… https://t.co/cUNBMNSxui	Neutro
@LuisCaval1 @havan @riachuelo @centauroesporte Melhor esperar o Ciro tirar todo mundo do SPC e só de ingratidão cor… https://t.co/muhEm9loRa	Neutro
"Neste sábado tem treino do Team Maumau na entrada da area esportiva do Riachuelo as 7 da manha
#Participe — se sentindo receptivo"	Positivo
"riachuelo fez o sapato pão de doce

agora as pocs pobres vao poder ser hype tb

se fudeu balenciaga"	Positivo
"FECHARAM A RIACHUELO DA EDUARDO RIBEIRO. 

I'm devasted"	Neutro
"""eu tô precisando de blusas básicas pra sair e vou comprar dessas, nada de coisa com glitter ou personagem""

PRIMEI… https://t.co/FNpmU91pfv"	Neutro
I'm at FADERGS - Unidade Riachuelo in Porto Alegre, Rs https://t.co/a2RoGK488Q	Positivo
Mlk fiz cada conjuntinho aqui na riachuelo	Neutro
#DicasDeFDS - Espetáculo Beatles Para Crianças no Teatro Riachuelo. Saiba mais: https://t.co/ASvlGIKn75 #Rio https://t.co/TrpATCrGlp	Positivo
Fui na Riachuelo de Bangu fiquei louca, várias blusinhas lindaaaaas	Neutro
O bom de se relacionar com quem também trabalha é o fato da pessoa entender que vc não tem todo tempo do mundo e qu… https://t.co/3Ipx9eXmA6	Neutro
Se o Rick decidir se separar do Renner o substituto é a cea ou a riachuelo?	Positivo
Riachuelo tá de parabéns viu https://t.co/J1aoQZlOTK	Neutro
eu vou na riachuelo a atendente me xaveca, eu vou na lotérica a atendente me xaveca, ou eu sou um negro muito bonit… https://t.co/mOUAqrHTi5	Positivo
"Se algm quiser me dar a coleção do Super Mario da Riachuelo
Eu adoraria viu
😉"	Neutro
O fenômeno do You Tube Carlinhos Maia no Teatro Riachuelo em setembro https://t.co/rjPkJpDl1z	Neutro
Tá estudando aonde? — Riachuelo. https://t.co/HaC3fOGg7u	Neutro
"RT @FNXConservadora: Centauro, Riachuelo, Havan
#MaisUmProBolsonaro e o número aumenta ainda mais!
#EuVotoBolsonaro17 https://t.co/1btdL0Kr…"	Neutro
Riachuelo - Luiz Felipe #flickr https://t.co/V1NMUOLIuE	Neutro
Vagas p/ Supervisor (a) de Atendimento (crediário e caixa) - Gra - Lojas Riachuelo - Vitória/ES - https://t.co/82rZ4CkEbk	Neutro
No Dia Nacional do Patrimônio Histórico vale lembrar que Sergipe possui 23 patrimônios históricos nacionais distrib… https://t.co/aotRTCR2YZ	Positivo
me olhando no espelho e pensando em como eu ia ficar um nojo cm aquela pantacourt da riachuelo	Positivo
@umvicente Achei o da riachuelo muito mais irado	Negativo
RT @wilson_hazak: #BoicotedoBem O cara tem que ser muito #viado pra usar um produto das lojas @riachuelo; tem que ser muito #sapatao pra en…	Neutro
Vagas p/ Supervisor (a) de Atendimento (crediário e caixa) - Gra - Lojas Riachuelo - Vitória/ES - https://t.co/246dr6k9Bf	Negativo
A @riachuelo lançou os novos @BALENCIAGA ahhaahahhahaah https://t.co/s4Y6SINq5k	Negativo
gente eu fui na riachuelo hoje né e o cara que tava arrumando a pratileira meio que ficou flertando comigo EU FIQUE… https://t.co/AJuz5Da8Q4	Negativo
@brunoshiima @recriou Só me indago se é Riachuelo ou Renner	Negativo
Como sempre a @SuperVia_trens atrapalhando a vida do trabalhador aqui no Riachuelo! Essa bosta dessa catraca que nu… https://t.co/0kQT1grF0M	Neutro
@pense_livre @riachuelo @havan @centauroesporte @jairbolsonaro Kaka será o próximo, reunião já agendada.	Positivo
sai para ir pra academia quando fui vê tava na riachuelo comprando tênis pra mim e pra naju	Positivo
Quer me dar um presente ? Não sabe o que dar ? Tai uma sugestão 🤣🤣🤣🤣 https://t.co/J1VVeTSiqo	Positivo
meu sonho de princesa army,oi @riachuelo rs https://t.co/ZVhlXW83mP	Positivo
RT @farrayella: @nikollaxs @anacrf30 era riachuelo meu amor	Neutro
"Centauro, Riachuelo, Havan
#MaisUmProBolsonaro e o número aumenta ainda mais!
#EuVotoBolsonaro17 https://t.co/1btdL0Kr97"	Neutro
"RT @Smith_Hays: Os donos da Centauro, da Riachuelo (que foi ex-candidato), da Tecnisa e da Localiza declararam apoio ao Bolsonaro.

O Bolso…"	Neutro
Primeiro dono da Riachuelo, depois o da Centauro, agora o da Havan, os  geradores de emprego todos em favor do Bols… https://t.co/C3e6Vikkw6	Positivo
Rpz, a riachuelo tá com uma camisa nova do Superman mto foda. Cor e estampa 😃	Positivo
Tô muito brother do pessoal da Riachuelo ...	Neutro
@BonoroPistola @havan @riachuelo @centauroesporte Amôedo tinha é q estar do lado do Bolsonaro, mas é teimoso !! Ins… https://t.co/mVzSk9pqv4	Neutro
RT @BonoroPistola: O apoio da @havan, @riachuelo e @centauroesporte a Bolsonaro é devastador p Amoedo. A maior bandeira do Partido Novo é o…	Neutro
Operador de Guilhotina – Indústria de Embalagem – R$ 1.350,00 – Riachuelo  https://t.co/7u71yowGkR	Positivo
"A Laura foi aprovada para Riachuelo. Parabéns!

https://t.co/vAeMIUeggn

#MyAgency #Moda #Fashion #Estilo… https://t.co/4VzrSyX2Uj"	Positivo
"A Laura foi aprovada para Riachuelo. Parabéns!

https://t.co/g1PRcUQZtE

#MaxFama #Moda #Fashion #Estilo #Editorial… https://t.co/DV6sWfwWrB"	Positivo
Manasx a Riachuelo está com a coleção incrível de lingerie	Neutro
RT @pense_livre: É muito legal ver os donos da @riachuelo, da @havan, o da @centauroesporte apoiando @jairbolsonaro sem falar em outros art…	Neutro
"vim pra curitiba dei a volta pra ir na grafitti, riachuelo e renner tive que vir correndo pra psico e deu tempo 
se… https://t.co/cMSpwFxlpm"	Positivo
É muito legal ver os donos da @riachuelo, da @havan, o da @centauroesporte apoiando @jairbolsonaro sem falar em out… https://t.co/QZFKauuYgd	Negativo
Velho a riachuelo tá doida vendendo camiseta básica por 70 reais	Negativo
Riachuelo pq andas tao abatida?	Positivo
Riachuelo veio pesado copiando os sneaker high fashion	Positivo
@ramongusmao Na riachuelo! Naquela parte que tem um monte de coisinhas na fila do caixa	Neutro
@vitorvieiira_ Entra no trabalhe conosco dos shoppings é mais fácil deles chamarem...Ou tenta na Matriz da Riachuelo,vc é de qual região?	Positivo
"Com o dono da Riachuelo,  o da Centauro e agora o da Havan apoiando @jairbolsonaro fica claro duas coisas:
1-Quem g… https://t.co/GGvc0Bpvoe"	Positivo
Primeiro foi o dono da CENTAURO, depois o dono da RIACHUELO e agora o dono da HAVAN declarando apoio ao Bolsonaro!!… https://t.co/4p1hXRilQx	Positivo
esqueci meu fone dentro do meu casado que está batendo na máquina, vou chorar comprei o nome bonitinho na Riachuelo semana passada	Negativo
Cheguei na riachuelo e dei de cara com vários tênis parecidos com os da balenciaga kkkk para as meninas que gostam,… https://t.co/5SNGSMeyaS	Neutro
Gostei de um vídeo @YouTube https://t.co/JFEeLmyQcg Gimba e Riachuelo	Negativo
Pra passar o resto do dia de mal humor basta ligar na central da Riachuelo	Neutro
"8 PIORES MOMENTOS PARA DAR SALDO INSUFICIENTE EM CONQUISTA

- MASTER MOTEL 
- LOS PAMPAS 
- CARRO NA RESERVA NO SÃO… https://t.co/2GDmXtVkA2"	Positivo
RT @EFT1951: @GuilhermeJaison @carlos_fdrs @CinaraMenezes Irreversivel Bolsonaro Presidente ja pode comprar o terno da posse na riachuelo,	Negativo
mal recebi ontem e já tô aqui na riachuelo pagando minhas contas mano	Negativo
Quando to comprando roupa na C&amp;A ou na Riachuelo e alguém pega uma peça igual a minha eu tenho vontade de perguntar… https://t.co/HZ88niGcZ1	Positivo
"@havan, @centauroesporte e agora a @riachuelo ... Três potencias nacionais apoiando @jairbolsonaro !! 
Opinem: você… https://t.co/lUpdx6nmdl"	Positivo
meu aniversário tá chegando https://t.co/ZpnQofcJA9	Positivo
Manta Fleece Queen super quentinha por R$ 39,90 na @riachuelo &gt;&gt; https://t.co/eiHysOFrmf 😍😍😍 https://t.co/0h5V0dZZ1c	Positivo
riachuelo ainda vai me deixar mais pobre com essa coleção de coisas do Mario	Neutro
@henriqdp pior que periga até de ter. Olha que legal essa matéria: https://t.co/mOf5HiV7gb	Negativo
ALA O CARINHA COM O CASACO IGUAL AO MEU compra roupa na riachuelo eh foda ne bixo	Negativo
#BoicotedoBem O cara tem que ser muito #viado pra usar um produto das lojas @riachuelo; tem que ser muito #sapatao… https://t.co/wA3oqPDgzg	Negativo
RT @umvicente: e a riachuelo q lanço uma coleção de tenis copiando a balenciaga kkkkkkkkkkkkkkkkkkkkkkkkkk	Negativo
riachuelo copiou o balenciaga tripple s e uma aberração da louis vuitton q a galera chama de tênis	Positivo
muito adulta vim na Riachuelo com mamãe e comprei uma almofada dos incríveis	Neutro
@prodwiththerod Que raiva.. foi na Riachuelo do Carioca?	Positivo
A primavera está chegando, e a @Riachuelo tem estampas florais e cores que são tendência na próxima estação. Garant… https://t.co/IFupXtYiOw	Positivo
Primeiro dono da Riachuelo, depois o da Centauro, agora o da Havan, os geradores de emprego todos em favor do Bolso… https://t.co/z6DxJ4QGVm	Positivo
Fiquei doida na saia que eu vi na riachuelo, porém não tenho modos kk	Neutro
RT @Dants_10: Vais com essa roupa de novo? Mana se a tua roupa é descartável a minha não é maninha pelo contrário são de extrema utilidade…	Neutro
@Estadao O serviço público do estado cuidando do seu povo, assim é no estado mini também, às emergências do público… https://t.co/926oKyNy0g	Neutro
A vida dos tucanos e petistas não tá fácil.... não podem comprar na Centauro, na Riachuelo e agora na Havan..... é.… https://t.co/njeRbXngzx	Positivo
os pijamas da riachuelo parece as roupas com que eu saio de casa	Neutro
Melhor starbucks da paulistinha: da consolação na rua da riachuelo! NUM TEM MELHOR 💗💗💗💗	Neutro
@aurium__ Isso foi dentro do teatro Riachuelo?	Neutro
E nego falou mal do Riachuelo só pq fizeram uma redação zoando KKKKKKKKKKKK https://t.co/MOlfGHhSEB	Positivo
@riachuelo Ok! hsuahsuashua. Muito obrigada &lt;3	Neutro
"@capitalissfc @Tarik_mohad Ainda bem que aqui no shopping a Havan é de frente com a Centauro e a Riachuelo 

TO EM CASA GENTE 🤣🤣🤣🤣"	Negativo
pensa q a partir de segunda eu nunca mais vou poder usar a desculpa de ser menor de idade p recusar cartão da renner/riachuelo	Neutro
"@awaitdawnrise Ai que susto. 😅
Estaremos por aqui, caso precise de ajuda. ❤"	Negativo
"acabei de ver um cara com uma camiseta igual a q eu tenho

 riachuelo diva"	Negativo
Qro ve eu explica no caixa q n vo paga c cartao riachuelo... vai ser top kkk	Positivo
"vi um all star branco tão lindo, TÃO LINDO na riachuelo por DUZENTOS REAIS

bem caro, porém eu quero"	Negativo
Gente o tenis da Balenciaga ta sendo vendido na Riachuelo agora, só 189.00 pra ficar no hype	Negativo
Fzd o cartao da riachuelo PQ FUI ATACADA NO SHOPPING	Neutro
"Blusa Infantil Patinhas (3-6 anos) R$10
 Compre aqui: https://t.co/2QIXTQ4Oas

Gostou dessa oferta? Compartilhe  ⬇️… https://t.co/doff2A1p30"	Neutro
"Jaqueta Puffer Capuz Pêlos [tam 10] R$60
 Compre aqui: https://t.co/4JNHtkh0Kb

Gostou dessa oferta? Compartilhe… https://t.co/iklMFFL36q"	Positivo
Os donos da @havan @riachuelo e @centauroesporte declararam voto em Bolsonaro! Vamos ajudar quem nos ajuda! Comprem… https://t.co/qbcTpyD0wr	Neutro
@aligepa Olá, Aline! Tudo bem? Você pode nos passar seu CPF por DM para formalizarmos seu elogio? Aposto que ele vai adorar saber disso. 😍	Neutro
Acha o Riachuelo fraco? — nops https://t.co/InJ8BNPfrs	Neutro
"Gorro Pinguim Patinhas R$20
 Compre aqui: https://t.co/VdWuPMhJJr

Gostou dessa oferta? Compartilhe  ⬇️⬇️ 
Facebook… https://t.co/Yg8nBrMA8o"	Positivo
"@riachuelo socorro
Não tem nenhum descontentamento não, só falei do cheiro mas isso é simples HUDHWWSIUHUHDWIAUH"	Neutro
eu fico cada dia mais impressionadakkkjjkkk agora bts plagiou o holografico que se voce for em qualquer loja tipo r… https://t.co/C925sxSv61	Neutro
Minha infância em uma foto... VAMP, Natasha e Conde Vlad...❤! Atores neylatorraca e claudiaohana estão em turnê com… https://t.co/pNyLELePlN	Neutro
Todos juntos @havan , @riachuelo , @centauroesporte  , por um Brasil mais justo , honesto ! Chega dos mesmo! Vote @jairbolsonaro 17 !!	Positivo
Acabei de ligar no 3004 da Riachuelo e o cara que me atendeu foi O MELHOR atendente do mundo. Falou que a Sec. Elet… https://t.co/GVKff8SMxF	Positivo
as roupas Riachuelo é tão minha cara,mds queria tanto comprar tudooo	Negativo
@ricardogouveia3 @joselitojunior1 riachuelo tem dono babacao, entao pode ser a renner	Neutro
Eu era retardado, quando era menorzão me escondia nas roupa da Riachuelo e minha mãe ficava me procurando em choque kkkkkk	Neutro
ja vai dar 13h e eu estou chegando em Riachuelo huuuummmmm que delícia hein	Negativo
Riachuelo vendendo umas cópias de tênis da balenciaga	Neutro
@GaudTorquato ... @flaviogr ..Flávio Rocha apoiar Bolsonaro?? ... Será que ele teria coragem de convidar o Bolsonar… https://t.co/rUSBt4G6SY	Neutro
minha opinião sobre o Sweetener: as Lojas Americanas, Riachuelo, C&amp;A e etc  ganharam um ótimo compilado de música a… https://t.co/NkMuilW8Dt	Positivo
Roupas que vc pode comprar na Riachuelo por 40 reais. https://t.co/aRnrNAClih	Positivo
Fui na Riachuelo comprar umas roupinhas pra ir no show amanhã 😝	Neutro
@claudioedantas @flaviogr @jairbolsonaro @reinaldoazevedo  ... Será que ele teria coragem de convidar o Bolsonaro p… https://t.co/30AgaQyJwE	Neutro
Rua Riachuelo, em Piracicaba, ficará parcialmente interditada para obras https://t.co/3vULP77QlR	Neutro
@awaitdawnrise Oi, Agallocha. Lamentamos seu descontentamento. Você pode entrar em contato com nossa Central de Ate… https://t.co/sjH9Jul2Dr	Positivo
RT @brancomendes25: Riachuelo se reergueu né ? Só roupa linda nessa coleção 😳😳	Positivo
Riachuelo se reergueu né ? Só roupa linda nessa coleção 😳😳	Positivo
@infictionn ih eu procuro e sempre acho coisas mais baratas no outro dia teve varias promoçoes na riachuelo td baratinho fiquei 😍	Negativo
fazer compras pelo site da Riachuelo é uma bosta mesmo meu Deus	Negativo
ainda não acredito na coragem da riachuelo de lançar uma coleção igual da balenciaga	Neutro
RT @oianalu_: Saudade riachuelo	Positivo
Volta riachuelo, lá era tudo mais fácil	Positivo
Saudade riachuelo	Positivo
"IAI RIACHUELO
só n reclamo pois frete gratis"	Negativo
@zezedellu a Riachuelo também tá vendendo do Balenciaga ksdkjdksdk	Neutro
mandei currículos pra Riachuelo e pra C&amp;A, só queria um emprego pra pelo menos pagar as minhas brusinhas	Negativo
"Eu entro em loja e os vendedores me manipulam pra eu fazer cartão
Eu to saindo do shopping com cartão riachuelo e a… https://t.co/QvSUWjSFzK"	Neutro
Para Paulo Farroco, CIO da Riachuelo, inovar no setor é uma questão de sobrevivência, garantir a perenidade e a lon… https://t.co/GclprX57W0	Neutro
@flopdani @ChegaDeLucas Olá, Gowon! Tudo bem? Nós respeitamos a diversidade e seguimos de acordo com nossos valores… https://t.co/MZugMs2VKz	Negativo
e a riachuelo q lanço uma coleção de tenis copiando a balenciaga kkkkkkkkkkkkkkkkkkkkkkkkkk	Neutro
Descolado, com pegada esportiva e ultra confortável. Tênis-desejo do momento, o Chunky é a tendência fashion que nã… https://t.co/2QOSgQa6xQ	Negativo
Maldito dia que aceitei fazer um cartao da riachuelo	Neutro
@VeryDificil @btrzfontenele Gente, lembrei que ganhei ingresso pra ver peça no riachuelo hj	Neutro
RT @tovibrano: odeio qnd entro na loja da riachuelo e as sacolas começam a rir https://t.co/89KSWeTfXL	Positivo
A PLAYLIST DA RIACHUELO É UM CD DE ARIANA GRANDE MEU DEUS	Positivo
@riachuelo O dono apoia o @jairbolsonaro , então passarei a comprar nela.. #BolsonaroPresidente Privilégios não. Mi… https://t.co/WUdTPl5tI1	Neutro
Quem me vê de calça, camiseta e bota o tempo todo não sabe que meu sonho é me vestir que nem essa asiática pro rest… https://t.co/4fOufTMH01	Positivo
@flopdani @riachuelo afffffffffffffff_____ todas as marcas de roupa acessiveis me mataste	Neutro
Quem tiver a oportunidade de ir à peça da Elza, pfvr, faça-o. Até 30/set no Teatro Riachuelo [(antigo cinema Paláci… https://t.co/UNSO9jSVpC	Positivo
comprei brusinhas da @riachuelo segunda-feira pelo site e hoje já chegaram &lt;3_&lt;3	Neutro
Acho q preciso de um cinto novo. Onde se inscreve pra ganhar um recebidos? @Lojas_Renner @riachuelo @Ferracini24h https://t.co/pyDrBjovBr	Neutro
Lojas Riachuelo contrata Supervisores para Grande Vitória https://t.co/KpN5UqBUvW	Neutro
@joaoamoedonovo O Flávio Rocha dono da Riachuelo sei que ele desistiu, o Datena não Manteve a candidatura, mas todo… https://t.co/Nee1zTA9fs	Neutro
@joaoamoedonovo João independente da polémica acho muito interessante a sua história que bom que a política está tr… https://t.co/lwT90K2SjW	Neutro
Colisão envolvendo dois veículos de passeio na rua Lagarto / rua Riachuelo. Agentes de trânsito no local. https://t.co/GNGf7Xs4IY	Positivo
"RT @ENygmatyko: @riachuelo Qualquer empresa em que o dono seja a favor de #EuVotoBolsonaro17 , merece ser divulgada.

Ótima loja @riachuelo…"	Neutro
Ai como eu amo vocês!! #melifriends #meliraiz #melilovers  #meli #muchlove #saudadesdoposto #oldschool #mandae… https://t.co/sJWvFhURkr	Neutro
Estágio em Ensino Médio ou Técnico em Administração – R$ 500,00 – Riachuelo – 5 vagas  https://t.co/lcr1IkYATD	Negativo
Após a Riachuelo sofrer boicote da comunidade LGBT, por seu presidente declarar apoio a bancada evangélica e ligaçõ… https://t.co/BXt33HNKyk	Neutro
RT @acmneto_: Uma das avenidas + tradicionais e históricas de Salvador agora também passará a ser uma das + acessíveis, sustentáveis e mode…	Neutro
"Bom dia. Para hoje  teremos:
Linguica com guariroba.
Linguica com cheiro verde.
Linguica com mandioca e a tradicion… https://t.co/JMXBXv5KPk"	Positivo
um monte de gt falando q não sabe o que é patronus na internet mas todo mundo saindo com blusinha do harry potter da riachuelo	Neutro
@david_krapp @jailane1001010 @matheushqmendes @motadouglas Foi a mesma história com o dono da Riachuelo. No final e… https://t.co/RV5oFzACp3	Neutro
RT @Marcelo96875909: @ReginnaSampaio @LeiSecaRJ @EnqueteRJ2018 Ao q parece, já li relatos q dão conta de tiros na região do Rocha e do Riac…	Neutro
@ReginnaSampaio @LeiSecaRJ @EnqueteRJ2018 Ao q parece, já li relatos q dão conta de tiros na região do Rocha e do R… https://t.co/nuaAIo8pva	Neutro
Tem um helicóptero passando aqui toda hora ele tá todo apagado, tô até com medo, impossível dormir devido ao barulh… https://t.co/EiwqxCelvB	Negativo
RT @geovanna_deip: Sacanagem ter trocado a senha do Wi-Fi do riachuelo	Negativo
Riachuelo lançou a moda primavera de tênis deles e eu lembrei pq eu odeio essa loja	Negativo
To cansada de usar meu salario pra pagar faculdade, inglês, carro, seguro do carro, Marisa, Riachuelo, Renner, cart… https://t.co/FZQLloUOFu	Negativo
Sacanagem ter trocado a senha do Wi-Fi do riachuelo	Neutro
@biaiotti Riachuelo tá com um monte de remarcação, até de sapatoooo	Neutro
"RT @PatoCorporation: “Tira a Dilma q os investimentos voltam no dia seguinte”

Flávio Rocha, dono da Riachuelo, réu por coação e injúria co…"	Positivo
@gacarlin__ só se for no cartão riachuelo né nom	Positivo
@l_arisss A vista no cartão riachuelo	Positivo
bebendo agua na minha garrafa da lufa lufa q comprei na riachuelo	Negativo
Todo dia um cara comparando o tênis da Riachuelo c o da Balenciaga, os dois são feios aaa chega esse grupo do Facebook já foi melhor	Neutro
“O que mais impressionou foi quando perguntamos como poderíamos ajudar com a campanha”, relatou Bomfim. “Ele disse:… https://t.co/B58eUb6gCj	Neutro
Pronto! Heró já se colocou em defesa das empresas de Flávio Rocha, dono da Riachuelo. Kkkk #DebateBandRN	Neutro
Estuda onde? — Riachuelo https://t.co/p4EZpuwFA5	Positivo
minha meta de vida nesse momento é comprar a brusinha que vi na riachuelo	Neutro
Gente quem pré fabricou essas falas desse brenno? Uma mistura do prefake de sampa, um pouco de amoedo e do dono da… https://t.co/4RSTn43NQc	Neutro
Fui assistir ao musical da Elza Soares no Teatro Riachuelo e chorei em público pela primeira vez em quase 10 anos	Neutro
RT @meioemensagem: Netflix testa novas fontes de receita com licenciamentos: em parceria com marcas como Riachuelo, Hasbro e Funko, a plata…	Positivo
"boderline: sucesso na riachuelo 

nota: 5"	Negativo
"RT @twittzendo: enem 2018: qual loja demora mais a fila? 

a. americanas
b. c&amp;a 
c. riachuelo
d. todas as alternativas 

resposta: letra d"	Positivo
na moral   eu soh qro um cartão da riachuelo	Neutro
@claricve pelo menos não derrubo sorvete td vez q vou na riachuelo	Negativo
gritos que a a riachuelo vez versões de todos os tênis que tão na moda	Neutro
Mano o Dalmonte é o professor mais fofo de todo riachuelo	Positivo
Fico olhando essas propagandas da Riachuelo e fico querendo comprar tudo🆘🆘	Neutro
Encontrei a Ana hoje e impressionante como ela consegue me colocar pra cima mesmo nos meus piores dias... Fomos no… https://t.co/3fwEKdCWvp	Neutro
@lala_macario Eita como a calça ficou linda em você! Ficamos felizes em poder auxiliar. Qualquer dúvida estamos a disposição. 😍	Neutro
Netflix testa novas fontes de receita com licenciamentos: em parceria com marcas como Riachuelo, Hasbro e Funko, a… https://t.co/Sf6rn2Hx1R	Neutro
Eu diria que a Casa Azul da Riachuelo é o resumo da Porto Alegre atual: poderia ser linda e dar orgulho se estivess… https://t.co/YbQkI77OCK	Positivo
Comprei uma bermudinha linda do Mário Bros na riachuelo e um blusão branco que eu queria e meu chinelo da Fila ..to tranquila	Neutro
"E fico pensando se fosse eu ia ser tipo ""comprei o item mais barato da Marisa, pernambucanas, americanas e Riachuelo""kkkkkk"	Neutro
Turma Senac Agente Higiene e Beleza Animal - Confraternização niver Nívea em Centro Politécnico Senac Riachuelo https://t.co/8B5jUc7y9o	Negativo
fui fazer um cartão na riachuelo p minha irmã no meu nome dai o cara perguntou se eu trabalho e eu somente fingi qu… https://t.co/j4nJDRQ9n1	Neutro
Turma Senac Agente Higiene e Beleza Animal - Confraternização niver Nívea em Centro Politécnico Senac Riachuelo https://t.co/zP9ld0rtEV	Positivo
A luz e espelho do provador da riachuelo não me intimidou hoje. Temos um avanço 👏🏻👏🏻👏🏻	Positivo
Aaaaaa q sdds das poc da Riachuelo :(	Positivo
@greywwind Aaaaaa o meu também, tava procurando esses dias mesmo kkk na riachuelo tem	Neutro
N to nem um pouco acostumada com os shoppings chiques de SP, fui mo perguntar aonde tinha riachuelo pro segurança e… https://t.co/cyU3zYnSey	Neutro
@usemdrugs @weycarlos_ Ent talvez um Riachuelo saia na hora, pq se n me engano é master né	Positivo
@DANIZZADA já tá caro :/ na riachuelo e na renner uma calcinha ou um sutiã tá de 60 reais. 120 num biquini de loja… https://t.co/xoVDisQ5vq	Neutro
Acabou de publicar uma foto em Teatro Riachuelo Rio https://t.co/bllEP8J4CB	Negativo
RT @VEJA: Ações da Riachuelo disparam após renúncia de pai de Flávio Rocha https://t.co/x8lRo142k1	Negativo
RT @feliperosadn: Com 12 semanas já perguntam pro feto se ele tem cartão Riachuelo	Positivo
fiz uma conta no site da riachuelo hehehe	Positivo
Meus irmãos são muito modelos da Riachuelo https://t.co/FqSw9WNzHd	Positivo
@_anaasus kkkkkkkkklkkkkk lembra de riachuelo? aí mt bom sddss	Positivo
Essas músicas da Renner, C&amp;A, Riachuelo... não sei se danço ou malho.	Negativo
O POVO   TBM QUER IMPUGNAÇAO DA CANDIDATURA  DE BOLSONARO   GOLPISTA  E BOICOTE  AS EMPRESAS  RIACHUELO E CENTAURO… https://t.co/eJ0UicOmBx	Positivo
Com a nossa a Khrystal Saraiva em mais uma noite do Musical Elza. — em Teatro Riachuelo Rio https://t.co/UXVg6n0x7B	Positivo
Amanhã ou sábado vou na riachuelo larga um relógio nesse meu pulso 🤷🏽‍♀️	Neutro
"RT @howlljenkins: ""nao compro na riachuelo pq o dono é babaca é importante fazer nossa parte""
Isso
Pq o dono de mais nenhuma loja é babaca,…"	Neutro
Só boyzera! #OsBoyPira #AxMinaGrita #Rolezinho #Adoro #Boy #Floripa #Jivago #EikeLindaLinda #VibesETal #Riachuelo… https://t.co/oLhtoSnry5	Positivo
Onde tu compra as tuas roupas? Tu é estilosa demais (e muito linda)!! — aaaa que bom ouvir isso 🙆🏻‍♀️💜 eu compro na… https://t.co/Y6eRFdkLhf	Negativo
a luz do provador da riachuelo eh mto mentirosa pq eu fico feia la	Neutro
"Voltei na riachuelo pra ver se tinha esquecido lá e nada tbm. Ou seja, deixei ela no ônibus...
Semana passada foi a… https://t.co/tUAwxhhsxT"	Neutro
Na Riachuelo, derrubei uns cases de óculos e fez o maior barulho na loja. Wev fingiu até que não  me conhecia kkkk… https://t.co/NR50FnM94P	Neutro
ormel mais uma vez pagando mico criando tag sobre o exo e as sete faturas da riachuelo ngm aguenta mais essas pacif… https://t.co/au8HsgCZPr	Neutro
